3,1,11,0,3,"(anonymous)@7-9@/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","(anonymous)","(anonymous)",7,9
5,1,56,0,5,"(anonymous)@10-14@/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","(anonymous)","(anonymous)",10,14
4,1,41,0,4,"(anonymous)@15-18@/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","(anonymous)","(anonymous)",15,18
7,1,78,0,7,"(anonymous)@20-26@/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","(anonymous)","(anonymous)",20,26
3,1,12,0,9,"(anonymous)@19-27@/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","(anonymous)","(anonymous)",19,27
8,1,94,0,8,"(anonymous)@29-36@/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","(anonymous)","(anonymous)",29,36
8,1,94,0,8,"(anonymous)@37-44@/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","(anonymous)","(anonymous)",37,44
4,1,22,0,18,"(anonymous)@28-45@/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","(anonymous)","(anonymous)",28,45
9,1,63,0,43,"(anonymous)@4-46@/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-11/test/CryptoZombies.js","(anonymous)","(anonymous)",4,46
3,1,11,0,3,"(anonymous)@7-9@/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-8/test/CryptoZombies.js","/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-8/test/CryptoZombies.js","(anonymous)","(anonymous)",7,9
5,1,56,0,5,"(anonymous)@10-14@/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-8/test/CryptoZombies.js","/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-8/test/CryptoZombies.js","(anonymous)","(anonymous)",10,14
4,1,41,0,4,"(anonymous)@15-18@/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-8/test/CryptoZombies.js","/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-8/test/CryptoZombies.js","(anonymous)","(anonymous)",15,18
2,1,2,0,3,"(anonymous)@20-22@/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-8/test/CryptoZombies.js","/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-8/test/CryptoZombies.js","(anonymous)","(anonymous)",20,22
3,1,12,0,5,"(anonymous)@19-23@/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-8/test/CryptoZombies.js","/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-8/test/CryptoZombies.js","(anonymous)","(anonymous)",19,23
2,1,2,0,3,"(anonymous)@25-27@/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-8/test/CryptoZombies.js","/Users/casper/PycharmProjects/semantic-search/2/temp/lesson-11/chapter-8/test/CryptoZombies.js","(anonymous)","(anonymous)",25,27
